,subject,config,activity,dev_rr,ref_rr,error,spi_ip,spi_gyr,spi_ref
45,subject_5,wire,laying,17.98258086151899,15.09445493045024,2.8881259310687497,0.6217618855014604,0.44219850950168055,0.4388883836741634
46,subject_5,wire,laying,16.26848561563072,15.144216245615487,1.1242693700152326,0.6491334038844775,0.48676772762815484,0.4910611341826338
47,subject_5,wire,laying,15.187110256584578,16.579233066709495,1.392122810124917,0.6097179636654728,0.44774251433041257,0.5844651923500008
48,subject_5,wire,laying,14.958938138238164,16.80164865254095,1.8427105143027873,0.5918372972764213,0.4004890098432218,0.5618228928037903
49,subject_5,wire,laying,14.68944669022163,17.855768343836413,3.1663216536147836,0.642696181286601,0.411631674995031,0.6037939445193535
50,subject_5,wire,laying,12.669666367164819,16.286361869433712,3.616695502268893,0.6184520769782758,0.3713650354657468,0.5750462479576683
51,subject_5,wire,laying,11.741001240712569,15.015682562390413,3.2746813216778445,0.4354535891019459,0.37874914387276853,0.49313661077601373
52,subject_5,wire,laying,15.201573552031157,13.179280790104825,2.022292761926332,0.34423306517646224,0.4602936696075369,0.39018714358327544
53,subject_5,wire,laying,10.196473939725717,14.34602666046338,4.149552720737663,0.3840186141168692,0.4115939011329728,0.4234822082750441
54,subject_5,wire,laying,11.162028930132712,13.478062785709419,2.3160338555767073,0.39986114358072034,0.32849738343475354,0.612804681305342
55,subject_1,patch,laying,9.913228209927523,9.87724504647053,0.03598316345699182,0.4385616764917803,,0.6458896588140947
56,subject_1,patch,laying,10.234467974406055,10.250341787719792,0.015873813313737273,0.4644776355910364,,0.6415792715732287
57,subject_1,patch,laying,10.416875489090621,10.598604147831738,0.18172865874111643,0.44259844223372313,,0.7245764768810721
58,subject_1,patch,laying,11.247759669151213,11.324720221564924,0.07696055241371091,0.4167965737126229,,0.713422684552729
59,subject_1,patch,laying,12.334237247530755,12.242974811664473,0.09126243586628213,0.4720267966116966,,0.7216323487029507
60,subject_1,patch,laying,12.496148923311745,12.2187971507921,0.27735177251964593,0.5122643239199096,,0.7294559062695966
61,subject_1,patch,laying,13.206477545126608,13.325421050867414,0.11894350574080548,0.6080822810366097,,0.7962319584984707
62,subject_1,patch,laying,13.939352062425012,14.078777584483202,0.1394255220581897,0.6853933364055573,,0.8140616481417353
63,subject_1,patch,laying,12.576425491480201,13.103379556393342,0.5269540649131415,0.6050736557153898,,0.6639553160274018
64,subject_1,patch,laying,9.764347931568379,10.113608547249227,0.34926061568084776,0.5768748991663017,,0.6338313177756005
65,subject_2,patch,laying,14.816924362115262,15.325428160051004,0.5085037979357416,0.7288125168082424,0.7828663788660044,0.7348524078686188
66,subject_2,patch,laying,15.905515115317808,16.590813006978603,0.6852978916607952,0.6976719271528539,0.7754703258000101,0.7597935732209176
67,subject_2,patch,laying,15.79779102715008,16.081289041130916,0.28349801398083585,0.6368631233565454,0.6311542799570525,0.7101348836303792
68,subject_2,patch,laying,14.206845973572513,14.570867871840774,0.3640218982682608,0.560235115765322,0.5665505599078431,0.6423612560805884
69,subject_2,patch,laying,14.965073992052224,14.484863869604197,0.4802101224480264,0.5459186876085289,0.6423456081015436,0.6513072434937546
70,subject_2,patch,laying,15.201937034010655,14.382230494586612,0.8197065394240433,0.6533478686972691,0.7805912368628266,0.7215629167834795
71,subject_2,patch,laying,15.29625397982549,15.231331232289811,0.06492274753567884,0.7440129496276521,0.8216550042556893,0.7955161887606721
72,subject_2,patch,laying,13.548985150820537,13.661833547140962,0.11284839632042498,0.7311155716747476,0.8150142696225229,0.7821078969771634
73,subject_2,patch,laying,13.218035023244205,13.190679153281607,0.02735586996259798,0.7365357060151216,0.7844947613854918,0.729891626023586
74,subject_2,patch,laying,13.922406724825668,14.064745144626428,0.14233841980076,0.7418936249741734,0.7977217031202285,0.7252419254117479
75,subject_2,patch,laying,14.621816428358798,14.67625989941747,0.05444347105867209,0.7282279787231052,0.80770719592189,0.7715554276720084
76,subject_2,patch,laying,15.816605843965785,15.496027639544643,0.3205782044211425,0.761270993952468,0.8351026104789884,0.7955377933100526
77,subject_3,patch,laying,15.281524217702005,15.340715568902686,0.0591913512006812,0.6195074951507591,,0.5840712643814928
78,subject_3,patch,laying,13.639280600817544,13.534486260315504,0.10479434050204084,0.5935266648614309,,0.5534407887289143
79,subject_3,patch,laying,13.947962289957491,13.986775834944703,0.03881354498721201,0.6386204277564075,,0.6121697322308384
80,subject_3,patch,laying,16.795074992419828,16.855436876163775,0.060361883743947686,0.7305703443362086,,0.67372738204162
81,subject_3,patch,laying,17.789114512634395,17.849758992565235,0.06064447993083988,0.7453366698915053,,0.6569607331659113
82,subject_3,patch,laying,16.707109513074307,16.772270284638807,0.06516077156449995,0.7060795825336943,,0.6172981935890582
83,subject_3,patch,laying,17.316386628171593,15.00922356571987,2.307163062451723,0.6519373875825334,,0.5483899667562684
84,subject_3,patch,laying,16.365432070624113,13.679400698775206,2.686031371848907,0.6147662031773727,,0.5607323431002936
85,subject_3,patch,laying,14.296381488374692,14.364710852951779,0.06832936457708705,0.6314200634691363,,0.5830655407918947
86,subject_3,patch,laying,14.825039552031532,14.70771618151079,0.11732337052074193,0.6528785479555449,,0.5632255353191492
87,subject_4,patch,laying,18.648883163796278,18.576005940697083,0.07287722309919431,0.5407285789498152,0.6417783860629932,0.8127249921032182
88,subject_4,patch,laying,19.40507856297308,19.09447509022748,0.3106034727456013,0.6468974978219234,0.7429475512776905,0.7992991076152688
89,subject_4,patch,laying,18.060848019226768,19.06641827437895,1.0055702551521826,0.7873680296234461,0.815248863151665,0.7887150432554129
90,subject_4,patch,laying,19.932032166320084,17.875835392500125,2.056196773819959,0.7608088584459316,0.7894413953104703,0.7012850920249981
91,subject_4,patch,laying,17.74202071169624,20.07667699004046,2.3346562783442195,0.737079196104408,0.7597331565682643,0.7222518294650628
92,subject_4,patch,laying,16.866605205868314,23.217354306375547,6.350749100507233,0.5957887129869075,0.6154714989623021,0.8141061255721742
93,subject_4,patch,laying,20.517851444256056,23.4468875798038,2.9290361355477437,0.6221610783020763,0.6363661478119833,0.7727640503457189
94,subject_4,patch,laying,23.585482757341403,21.095663479941354,2.4898192774000485,0.7361930601803264,0.7611232737906725,0.6734760082965063
95,subject_4,patch,laying,23.2040093000294,16.089929668983363,7.114079631046039,0.6986491803341897,0.7410906288884795,0.5803281565954099
96,subject_4,patch,laying,19.85596481688542,12.134221991166806,7.721742825718616,0.6001685909816673,0.6412047059402188,0.591949886422899
97,subject_5,patch,laying,18.84586360038228,18.76064686009795,0.08521674028433068,0.7985866416100698,0.8272369385578098,0.8435426645680625
98,subject_5,patch,laying,18.896561999971667,18.735840924265418,0.16072107570624894,0.7556970530520696,0.7143914711113762,0.806013025712022
99,subject_5,patch,laying,17.622130088175844,17.928773181698993,0.30664309352314945,0.5891842299753758,0.5634055428062053,0.7484314694055602
100,subject_5,patch,laying,19.24533148521816,20.775818096977837,1.5304866117596774,0.5330382995803554,0.5270377811729702,0.7056764413371582
101,subject_5,patch,laying,21.080367570877243,20.389924998106704,0.6904425727705394,0.5075965479973791,0.5315834755729322,0.6783744275811191
102,subject_5,patch,laying,19.47723489552265,17.167460865843115,2.3097740296795344,0.45168168811831855,0.5200697699725527,0.6144833091528755
103,subject_5,patch,laying,17.844550394006134,16.959707495252243,0.8848428987538917,0.5437753706665637,0.4943773848475324,0.5465636049226757
104,subject_5,patch,laying,19.19239901017139,18.688564102387975,0.5038349077834141,0.6264348146154087,0.5711449932161214,0.6059328476623868
105,subject_5,patch,laying,20.81239912367367,19.442939404480498,1.3694597191931734,0.7330791290584644,0.7651390563302767,0.7641329486128587
106,subject_5,patch,laying,20.53985925822648,19.79449229594452,0.7453669622819596,0.7358217035523037,0.6881521932045598,0.7526270286047003
107,subject_5,patch,laying,18.12290302668921,17.870831261436667,0.2520717652525448,0.6319210630317758,0.5752759546190809,0.71413556331755
108,subject_5,patch,laying,17.923812212834644,18.03088195866238,0.10706974582773654,0.6370010021727075,0.6361339331603081,0.7127234996841932
109,subject_1,wire,walking,18.58634308947022,22.677386726553326,4.091043637083107,0.4784975367173465,0.5943673304147401,0.7826678807003213
110,subject_1,wire,walking,21.54246960600115,20.591319503775647,0.9511501022255011,0.45559436022627736,0.5756331269482305,0.8159917528704912
111,subject_1,wire,walking,21.34035028407937,22.187809464652865,0.8474591805734946,0.3846347928013973,0.5968337164662724,0.7611330815094719
112,subject_1,wire,walking,20.401604451797628,25.300595794649286,4.898991342851659,0.41935758447160343,0.659722364175618,0.7726037187695193
113,subject_1,wire,walking,20.576126625062784,25.618573491213958,5.042446866151174,0.4128185526377305,0.7872299366614374,0.8159140194858289
114,subject_1,wire,walking,21.12500515883925,24.67785078333332,3.5528456244940685,0.3021733978126057,0.7303704573545879,0.8124086924870325
