subject,activity,configuration,modality,metric,device,reference,segment,start_sec,end_sec
,,,lead2,rmssd,62.56196927846821,61.25357132445422,1.0,10.0,20.0
,,,lead2,rmssd,51.536394906900505,52.50306113524647,2.0,20.0,30.0
,,,lead2,rmssd,92.53261973102087,93.39317809286561,3.0,30.0,40.0
,,,lead2,rmssd,72.20605435636465,70.89630254312078,4.0,40.0,50.0
,,,lead2,rmssd,61.98386886924694,62.25752966509352,5.0,50.0,60.0
,,,lead2,rmssd,75.92101158440923,77.26577508832743,6.0,60.0,70.0
,,,lead2,rmssd,68.76045375068433,67.12674578735364,7.0,70.0,80.0
,,,lead2,rmssd,41.376321731154405,41.23105625617661,8.0,80.0,90.0
,,,lead2,rmssd,74.52516353554684,74.79304780526061,9.0,90.0,100.0
,,,lead2,rmssd,63.166446789415026,63.874877690685246,10.0,100.0,110.0
,,,lead2,snr,0.9123758217620639,0.9091071632283987,0.0,0.0,10.0
,,,lead2,snr,0.9199007879552061,0.9170352365548486,1.0,10.0,20.0
,,,lead2,snr,0.91524210627979,0.9121372616710975,2.0,20.0,30.0
,,,lead2,snr,0.9188911690097259,0.9148664573214732,3.0,30.0,40.0
,,,lead2,snr,0.9148174547065179,0.9114350395330655,4.0,40.0,50.0
,,,lead2,snr,0.9135343127799056,0.9101915465409975,5.0,50.0,60.0
,,,lead2,snr,0.9178125119541785,0.9146263908849032,6.0,60.0,70.0
,,,lead2,snr,0.912605341179509,0.9092465747770506,7.0,70.0,80.0
,,,lead2,snr,0.9120078165282488,0.9081627494889968,8.0,80.0,90.0
,,,lead2,snr,0.9108820346127164,0.9070287669821279,9.0,90.0,100.0
,,,lead2,snr,0.9065090462114543,0.9029459733217694,10.0,100.0,110.0
,,,impedance_pneumography,resp_rate_mean,13.6057860298451,13.606728008476896,0.0,0.0,30.0
,,,impedance_pneumography,resp_rate_mean,13.740421834724932,13.518576520618629,1.0,30.0,60.0
,,,impedance_pneumography,resp_rate_mean,15.01247638956022,14.958249336807771,2.0,60.0,90.0
,,,impedance_pneumography,resp_rate_mean,14.792729080176432,15.013264811054878,3.0,90.0,120.0
,,,impedance_pneumography,spi,0.18979903101112003,0.6916739378589671,0.0,0.0,30.0
,,,impedance_pneumography,spi,0.18484560271413006,0.7458227552927139,1.0,30.0,60.0
,,,impedance_pneumography,spi,0.22384018510300552,0.7244004912326615,2.0,60.0,90.0
,,,impedance_pneumography,spi,0.22719771742089584,0.68754201163148,3.0,90.0,120.0
,,,gyry_ribs_imu,resp_rate_mean,13.631933147555705,13.606728008476896,0.0,0.0,30.0
,,,gyry_ribs_imu,resp_rate_mean,13.538336030037007,13.518576520618629,1.0,30.0,60.0
,,,gyry_ribs_imu,resp_rate_mean,14.940168052220486,14.958249336807771,2.0,60.0,90.0
,,,gyry_ribs_imu,resp_rate_mean,15.07050044168544,15.013264811054878,3.0,90.0,120.0
,,,gyry_ribs_imu,spi,0.704660607445484,0.6916739378589671,0.0,0.0,30.0
,,,gyry_ribs_imu,spi,0.6976285140987966,0.7458227552927139,1.0,30.0,60.0
,,,gyry_ribs_imu,spi,0.5792626361594497,0.7244004912326615,2.0,60.0,90.0
,,,gyry_ribs_imu,spi,0.7097996876993292,0.68754201163148,3.0,90.0,120.0
,,,resp_modality,rr_impedance_pneumography,13.6057860298451,13.606728008476896,0.0,0.0,30.0
,,,resp_modality,rr_impedance_pneumography,13.740421834724932,13.518576520618629,1.0,30.0,60.0
,,,resp_modality,rr_impedance_pneumography,15.01247638956022,14.958249336807771,2.0,60.0,90.0
,,,resp_modality,rr_impedance_pneumography,14.792729080176432,15.013264811054878,3.0,90.0,120.0
,,,resp_modality,rr_gyry_ribs_imu,13.631933147555705,13.606728008476896,0.0,0.0,30.0
,,,resp_modality,rr_gyry_ribs_imu,13.538336030037007,13.518576520618629,1.0,30.0,60.0
,,,resp_modality,rr_gyry_ribs_imu,14.940168052220486,14.958249336807771,2.0,60.0,90.0
,,,resp_modality,rr_gyry_ribs_imu,15.07050044168544,15.013264811054878,3.0,90.0,120.0
,,,resp_modality,rr_mean_fused,13.623217441652171,13.606728008476896,0.0,0.0,30.0
,,,resp_modality,rr_mean_fused,13.60569796493298,13.518576520618629,1.0,30.0,60.0
,,,resp_modality,rr_mean_fused,14.96427083133373,14.958249336807771,2.0,60.0,90.0
,,,resp_modality,rr_mean_fused,14.977909987849102,15.013264811054878,3.0,90.0,120.0
